userid,lat,lng,devtime
9141023731,38.949306,76.15918,2016-1-27 0:50
9141118102,36.724339,117.511032,2016-1-27 0:13
8131007677,36.554031,116.75338,2016-1-30 15:36
8130911601,35.166477,106.000099,2016-1-30 15:37
9150921081,30.448357,114.258232,2016-1-30 15:42
9150924141,30.032187,112.9133,2016-1-27 0:43
9150921365,25.434502,101.154449,2016-1-30 15:30
9150921249,25.416225,100.218918,2016-1-30 15:39
8131116492,39.388103,76.073402,2016-1-30 15:38
9140910116,36.634407,101.44455,2016-1-30 15:21
8130914531,24.787165,118.564148,2016-1-30 15:37
8130902598,22.815645,108.32048,2016-1-30 15:37
9150717416,43.920238,81.305847,2016-1-30 15:03
9141024067,26.790577,106.872383,2016-1-27 0:23
8130914268,31.574738,120.298264,2016-1-30 15:21
8130914818,43.9729,87.525734,2016-1-30 15:07
8130902438,23.112785,109.540916,2016-1-30 15:38
8131007535,35.631516,111.018852,2016-1-30 15:37
8130913541,23.615061,104.338417,2016-1-30 15:37
8130914903,37.56636,110.056183,2016-1-30 15:35
8130913206,25.236183,113.067215,2016-1-30 15:37
8130902886,24.32045,109.379982,2016-1-30 15:38
8130910779,43.860592,87.490013,2016-1-30 15:37
8130914083,31.894409,121.184013,2016-1-30 15:37
8130913845,26.857382,100.21962,2016-1-30 15:38
8130913374,22.427019,113.008034,2016-1-27 0:50
8130914675,43.888145,87.527687,2016-1-30 15:36
8130911715,36.63448,101.747147,2016-1-30 15:36
8130914406,26.111416,113.919533,2016-1-30 14:30
8130913373,22.611776,113.029869,2016-1-30 15:37
8130912547,26.402161,106.74118,2016-1-30 15:37
8130902780,24.715385,108.07177,2016-1-30 15:38
8130913617,28.679344,121.377197,2016-1-30 15:36
8130914431,28.839424,112.357018,2016-1-30 15:37
8130902446,23.395586,110.309586,2016-1-30 15:37
8130913467,23.440672,110.057899,2016-1-30 15:37
8130914436,28.842106,112.354034,2016-1-30 15:38
8130911028,40.606537,109.969086,2016-1-30 15:38
8130910909,41.265625,112.169868,2016-1-30 15:37
8130911047,40.612465,109.802132,2016-1-30 15:37
8131007376,34.605312,119.172531,2016-1-30 15:37
8130913271,22.994579,113.10128,2016-1-30 15:36
8130912430,37.979252,109.287514,2016-1-30 15:37
8130914623,28.474483,115.519981,2016-1-30 15:37
8130914803,44.383339,85.677032,2016-1-30 15:36
8130910530,36.982544,105.914635,2016-1-27 0:22
8130914356,30.676273,120.627419,2016-1-30 15:37
8130910990,43.6465,111.973465,2016-1-30 15:37
8130912983,33.447674,116.693085,2016-1-30 15:37
8130913557,25.504986,103.756813,2016-1-30 15:38
8130914801,43.83979,90.289047,2016-1-30 15:37
8130914344,29.937111,121.493446,2016-1-30 15:37
8130911084,41.094929,108.271896,2016-1-30 15:38
8130912956,31.754847,116.485367,2016-1-30 15:37
8131007341,36.728069,117.228951,2016-1-30 15:37
8130914931,34.374767,113.821548,2016-1-27 0:51
8130913360,22.571159,113.107803,2016-1-30 15:36
8130913450,28.138609,110.585251,2016-1-30 15:37
8131007547,34.662086,110.648186,2016-1-27 0:51
8131007528,35.435413,119.515015,2016-1-30 15:38
8130912659,33.460552,118.20182,2016-1-30 15:37
8130914879,32.838989,109.353752,2016-1-30 15:37
8130912520,28.555662,108.490517,2016-1-30 15:37
8130914474,29.371666,113.109734,2016-1-30 15:37
8130902676,26.106039,111.21637,2016-1-30 15:37
8130911805,35.261864,113.894432,2016-1-30 15:37
8130914857,34.236317,108.972054,2016-1-30 15:38
8131007537,39.474686,116.149582,2016-1-30 15:37
8130910931,39.81218,110.038017,2016-1-30 15:36
8130912964,33.681416,117.758003,2016-1-30 15:36
8130912780,34.194084,116.953819,2016-1-30 15:37
8130912264,36.061871,120.320831,2016-1-30 15:37
8130910910,40.07193,113.268784,2016-1-30 15:36
8130911155,45.513775,116.980148,2016-1-30 15:37
8130912771,34.183933,116.948318,2016-1-30 15:37
8130912515,26.622337,106.362785,2016-1-27 0:51
8130911434,42.00716,121.625748,2016-1-30 15:36
8130914829,34.613228,108.929649,2016-1-30 15:36
8130913799,25.488569,103.808083,2016-1-30 15:37
8130913590,23.447113,104.137764,2016-1-30 15:37
8130913613,27.736303,103.4683,2016-1-30 15:38
8130914814,41.788872,86.141747,2016-1-30 15:38
8130914608,27.797132,114.37545,2016-1-30 15:37
8130912330,26.600288,106.708366,2016-1-30 15:37
8130914835,34.21418,108.989136,2016-1-27 0:50
8130913273,27.288095,116.913086,2016-1-30 15:37
8130913369,29.617464,112.769287,2016-1-30 15:38
8130911158,43.382496,120.653702,2016-1-30 15:37
8130913276,30.029396,120.554497,2016-1-30 15:37
8130913006,33.136421,116.581764,2016-1-30 15:37
8130914297,31.572506,120.339767,2016-1-30 15:37
8130914213,33.919113,117.947517,2016-1-30 15:36
8130912839,32.988548,117.441254,2016-1-30 15:37
8130913846,25.296009,104.079498,2016-1-30 15:37
8130914874,38.252567,109.721336,2016-1-27 0:51
8130914792,46.724873,82.89212,2016-1-30 15:37
8130913523,26.090313,103.18132,2016-1-30 15:36
8130912467,33.698437,110.329918,2016-1-30 15:37
8130911400,47.388199,123.96508,2016-1-27 0:50
8130910923,41.032879,113.085419,2016-1-30 15:36
8131007163,37.976551,106.193268,2016-1-30 15:37
8130911477,47.326408,132.504593,2016-1-30 15:38
8130913125,33.850231,115.790031,2016-1-30 15:37
8130912403,34.256802,108.994698,2016-1-30 15:37
8130913066,33.500916,116.216202,2016-1-30 15:36
8130914918,36.856125,108.071854,2016-1-30 15:37
8130914905,37.637543,107.53862,2016-1-30 15:37
8130902189,35.139809,118.216904,2016-1-30 15:37
8130914889,38.237148,110.238815,2016-1-30 15:38
8131007612,36.565456,114.403435,2016-1-30 15:37
8130913841,25.070242,102.682068,2016-1-30 15:37
8131007172,37.480133,106.069237,2016-1-30 15:38
8130913837,24.89106,104.309349,2016-1-27 0:51
8130910562,38.466663,106.27285,2016-1-30 15:37
8130914851,33.292683,118.838684,2016-1-30 15:38
8130912518,26.582872,106.716652,2016-1-30 15:37
8130912773,33.357063,117.853554,2016-1-30 15:38
8130912766,34.203529,116.669853,2016-1-30 15:37
8130914894,37.950871,109.287552,2016-1-30 15:37
8130913728,24.885658,104.297714,2016-1-30 15:37
8130913539,24.521582,104.349854,2016-1-30 15:37
8130911718,36.475094,102.391487,2016-1-30 15:38
8130914357,34.25721,117.232651,2016-1-30 15:37
8130913631,24.869583,104.311653,2016-1-30 15:37
8130912794,33.808407,117.723587,2016-1-30 15:37
8130910349,36.676926,114.912132,2016-1-30 15:37
8130914852,34.225018,108.943199,2016-1-30 15:38
8130910170,32.001167,120.996368,2016-1-30 15:37
8130912511,28.146065,108.435753,2016-1-30 15:36
8130913518,24.711733,103.899765,2016-1-30 15:37
8131007637,39.562149,118.102631,2016-1-30 15:37
9150921090,46.504303,83.6744,2016-1-30 13:59
8130910480,38.027733,114.451401,2016-1-30 15:37
8131007711,35.575512,118.8395,2016-1-30 15:37
8131007611,32.247105,112.924881,2016-1-30 15:37
8130914473,29.367517,113.119019,2016-1-30 15:38
8130911803,34.971535,114.422485,2016-1-30 15:37
8130913304,23.191904,113.255936,2016-1-27 0:51
8130914419,28.324627,112.22123,2016-1-30 15:37
8130913734,24.978687,104.434601,2016-1-30 15:36
8130913928,32.099705,112.175385,2016-1-30 15:37
9150921394,22.879913,113.737114,2016-1-30 15:10
9150924114,31.258553,113.986549,2016-1-30 15:10
9150828376,25.816158,107.51815,2016-1-27 0:51
8130913658,26.54554,103.616119,2016-1-30 15:37
8130902951,21.751041,108.355667,2016-1-30 15:37
8130914932,34.948448,113.888367,2016-1-30 15:37
9150601247,26.61305,106.715569,2016-1-30 15:05
8131007348,35.607567,118.565948,2016-1-30 15:37
9141118703,33.796078,114.518082,2016-1-27 0:51
9150603301,25.343235,107.450348,2016-1-30 15:37
8131008632,41.154873,80.282936,2016-1-30 15:37
9140915143,36.055382,103.891953,2016-1-27 0:51
8131111805,23.124466,113.636581,2016-1-30 15:37
9150924110,32.64661,110.770981,2016-1-30 15:41
9141118446,21.922943,110.869415,2016-1-27 0:51
9141025045,28.170433,115.478065,2016-1-30 15:40
8130902688,23.412996,110.071136,2016-1-30 15:37
8131007117,37.43623,106.979134,2016-1-30 15:37
8130902580,23.018585,109.432747,2016-1-30 15:37
8130914697,43.905327,87.605347,2016-1-30 15:37
8130912778,29.446901,121.874214,2016-1-30 14:42
8130902786,21.55267,107.979118,2016-1-30 13:24
8130910241,37.730595,115.653786,2016-1-30 15:37
8130914704,38.921021,76.165649,2016-1-27 0:51
8130912631,31.248472,117.282036,2016-1-30 15:37
8130902244,34.784546,118.759232,2016-1-30 15:37
8130911907,34.08873,114.200165,2016-1-30 13:10
8130914679,43.859982,87.550453,2016-1-30 15:37
8130913004,33.708008,117.857437,2016-1-30 15:37
8130914732,43.84655,87.646118,2016-1-30 15:37
8130914615,27.817568,114.372665,2016-1-30 15:37
8131007249,39.260792,106.718002,2016-1-27 0:51
8130910646,38.481979,106.271484,2016-1-30 15:37
8131007798,31.56114,120.255333,2016-1-30 15:37
8130902458,23.473553,111.313583,2016-1-30 15:37
8130902921,23.892031,106.635246,2016-1-30 15:37
8130912692,31.71961,117.164131,2016-1-30 15:36
8130912914,31.682793,118.515717,2016-1-30 15:37
8130910729,43.885132,87.576065,2016-1-30 13:28
8130910114,37.733757,115.63723,2016-1-30 15:37
8130910716,43.75967,87.570885,2016-1-30 15:37
8130911882,34.156864,112.870667,2016-1-30 15:37
8130910049,38.298073,116.881363,2016-1-30 15:37
8130910686,35.942459,105.983437,2016-1-30 15:34
8130913547,22.766027,100.960182,2016-1-30 15:37
8130902876,26.151991,111.576149,2016-1-30 15:37
8131007237,38.468842,106.285698,2016-1-30 15:37
8130911515,44.00359,120.874237,2016-1-30 15:37
8131007197,36.987438,105.914299,2016-1-30 15:36
8130912392,25.429474,106.754715,2016-1-30 15:37
8130911914,34.766903,113.718781,2016-1-30 15:37
8130913687,25.556353,103.195618,2016-1-30 15:37
8131007127,38.279228,106.252419,2016-1-30 15:37
8130912339,26.399569,106.247147,2016-1-30 15:38
8130914389,28.220716,113.038086,2016-1-30 15:37
8130912946,27.283445,113.272964,2016-1-30 13:32
8130911850,32.884171,113.302834,2016-1-30 15:38
8130910720,46.740677,82.975754,2016-1-30 15:36
8130911464,47.331955,123.954582,2016-1-30 15:37
8130902849,23.55718,110.386284,2016-1-30 15:37
8131007503,37.002789,115.036049,2016-1-30 15:37
8130902834,22.817068,108.441864,2016-1-30 15:37
8130912580,30.616957,118.332153,2016-1-30 15:37
8130914644,41.787334,84.283501,2016-1-30 13:10
8130910590,38.48246,106.162148,2016-1-27 0:50
8130910793,43.835304,87.565681,2016-1-30 15:37
8130902719,21.962109,108.642815,2016-1-30 15:37
8130911832,34.151546,113.971153,2016-1-30 15:37
8130913104,33.834255,115.759598,2016-1-30 15:37
8130913180,23.015865,113.14225,2016-1-30 15:37
8131007211,36.963764,107.101517,2016-1-30 15:37
8130911897,31.05327,121.225533,2016-1-30 15:37
8130912664,32.948067,117.393333,2016-1-30 15:37
8130912958,33.493233,116.1437,2016-1-30 15:37
8130902952,25.135962,109.750351,2016-1-30 15:37
8131007736,35.444065,119.45948,2016-1-30 15:37
8130914651,34.867702,116.667213,2016-1-30 15:37
8130910690,37.98756,106.209251,2016-1-30 15:37
8131007175,36.989498,105.907097,2016-1-30 15:36
8131007452,36.520218,118.539047,2016-1-30 15:36
8130902365,22.800634,108.287285,2016-1-30 15:38
8130910290,39.888203,117.713417,2016-1-30 15:37
8131007023,28.737024,111.444847,2016-1-30 15:36
8130913083,32.946835,117.364166,2016-1-30 15:37
8130910555,38.518677,106.255348,2016-1-30 15:37
8130911293,45.57362,125.61335,2016-1-30 15:37
8130902442,23.536867,110.406754,2016-1-30 15:37
8130902487,22.589054,108.234985,2016-1-30 15:37
8130913143,31.245213,117.278168,2016-1-30 15:37
8130902515,22.277279,109.553635,2016-1-30 15:37
8130912603,31.334042,118.089447,2016-1-30 15:37
8130910554,37.511871,107.803398,2016-1-30 15:37
8130910652,38.464039,106.298485,2016-1-30 15:37
8130910248,38.61985,117.142532,2016-1-30 15:37
8130902328,24.417803,111.550148,2016-1-30 15:37
8130912090,32.035946,118.856834,2016-1-30 15:37
8130912164,36.192013,118.474083,2016-1-30 15:37
8130913708,24.791018,104.066032,2016-1-30 15:37
8130910871,43.771774,87.590736,2016-1-30 15:37
8130914118,33.490875,119.139603,2016-1-27 0:51
8130911287,46.067913,125.940483,2016-1-30 15:37
8131007231,37.072857,105.443016,2016-1-30 15:37
8131007725,35.128468,119.364716,2016-1-30 15:37
8131007044,22.331827,113.338631,2016-1-30 15:37
8130902502,23.718287,108.169235,2016-1-30 15:37
8130912172,37.14439,117.229935,2016-1-30 14:15
8130902005,34.600967,116.61422,2016-1-30 15:37
8131007119,37.452793,106.668602,2016-1-30 15:37
8131007290,37.576542,107.588585,2016-1-30 15:37
8131007978,25.819435,100.577919,2016-1-30 15:37
8130912697,31.538788,117.234634,2016-1-30 15:37
8130912872,33.040154,116.568314,2016-1-30 15:37
8131007207,37.808327,105.88488,2016-1-30 15:37
8130902467,23.214239,108.826134,2016-1-30 15:37
8130910585,37.502945,105.17765,2016-1-30 15:38
8130914762,43.803474,87.628586,2016-1-30 15:37
8130911421,40.61713,122.493401,2016-1-30 15:37
8131007858,36.565865,103.656883,2016-1-30 15:37
8130912250,37.320385,117.170631,2016-1-30 15:37
8130911079,40.765335,111.615303,2016-1-30 15:37
8131007121,37.152027,106.779716,2016-1-30 13:27
8130911525,45.752781,127.482399,2016-1-30 15:37
8130910209,38.260799,114.211716,2016-1-30 15:37
8130910037,39.647518,118.879585,2016-1-30 15:09
8131007445,31.810349,105.166283,2016-1-30 15:37
8130902758,23.719542,108.169296,2016-1-30 15:33
8130910657,29.93203,107.95723,2016-1-30 15:37
8130911111,39.814075,106.793549,2016-1-30 15:36
8130912151,36.721191,117.085152,2016-1-30 15:37
8130911520,43.606113,122.259735,2016-1-30 15:36
8130910565,37.44952,106.232903,2016-1-30 15:37
8131007604,36.583126,114.617897,2016-1-30 15:37
8130912162,46.643661,131.148346,2016-1-30 15:37
8131111686,40.409531,95.669167,2016-1-30 15:37
8130910592,37.436523,106.969635,2016-1-30 15:37
8131008297,34.812084,113.653549,2016-1-27 0:51
8130914714,29.84553,106.055031,2016-1-30 15:37
9150820143,23.17165,112.278282,2016-1-30 14:35
8130914542,33.37138,120.130798,2016-1-30 15:36
8130912477,37.723183,107.865616,2016-1-30 15:37
8130910014,38.141644,115.4021,2016-1-30 15:37
8130910730,43.87109,87.290733,2016-1-30 15:37
8130902275,36.709023,116.971748,2016-1-27 0:51
8130902795,39.377869,117.048531,2016-1-30 15:36
9150312316,22.669769,114.038231,2016-1-30 15:36
8130912495,38.918903,106.523132,2016-1-30 15:37
8131007408,34.848358,119.139687,2016-1-30 15:37
9141024709,31.835249,116.971298,2016-1-27 0:51
8130911598,43.525726,125.653481,2016-1-30 13:13
8130910627,39.125324,106.709213,2016-1-30 15:37
9150924057,24.517225,118.0961,2016-1-30 15:40
9150921464,22.654509,113.899803,2016-1-27 0:36
8130913744,23.365103,103.159348,2016-1-30 15:38
8130913239,23.113859,113.581596,2016-1-30 15:37
8130902211,35.059227,118.165916,2016-1-30 14:43
8130913485,21.641953,110.635399,2016-1-30 15:37
8130912539,26.402008,106.741234,2016-1-30 15:38
8130914687,43.972092,87.629646,2016-1-30 15:37
8130912863,31.769537,116.618668,2016-1-30 15:37
9150924045,25.342125,119.135063,2016-1-27 0:51
9150813064,34.112568,118.786751,2016-1-30 15:37
8131110302,44.210957,125.164032,2016-1-30 15:37
8130914283,31.614155,120.269333,2016-1-30 15:38
8130912663,31.86684,117.373863,2016-1-30 15:38
8130914423,28.596214,112.327484,2016-1-30 15:37
8130914834,34.20533,108.710197,2016-1-30 15:36
8130914348,30.242805,120.441032,2016-1-30 15:36
